Structure: player,piece name,x,y,rotation,flip


Game 1 with players: R AB_1 AB_2 AB_2
YELLOW,chunky5,5,13,0,0
GREEN,T5,7,12,0,0
BLUE,T5,8,7,2,0
RED,T5,10,5,0,0
YELLOW,T5,1,14,1,0
GREEN,C5,7,16,0,0
BLUE,C5,8,14,1,0
RED,C5,8,8,0,0
YELLOW,3corner,3,0,0,1
GREEN,L5,11,18,1,1
BLUE,L5,1,7,1,0
RED,L5,11,8,0,0
YELLOW,singleSquare,0,11,0,0
GREEN,X5,10,14,0,0
BLUE,X5,13,14,0,0
RED,M5,14,6,0,0
GREEN,tree5,13,19,2,0
BLUE,tree5,10,4,2,0
RED,Z5,15,1,1,1
GREEN,Z5,15,16,0,1
BLUE,Z5,11,1,0,0
RED,l4,15,9,0,0
GREEN,l4,17,17,3,0
BLUE,l4,17,10,0,0
RED,cube,18,6,0,0
GREEN,t4,7,19,2,0
BLUE,t4,12,17,1,0
RED,singleSquare,3,2,0,0
GREEN,line3,12,12,0,0
BLUE,L4,15,18,0,1
RED,3corner,1,3,0,0
GREEN,L4,13,10,0,1
BLUE,line3,10,19,0,0
GREEN,singleSquare,9,11,0,0
BLUE,3corner,10,17,1,1
GREEN,twoPiece,10,9,3,0
BLUE,twoPiece,13,0,3,0
BLUE,singleSquare,0,8,0,0

Game 12 with players: AB_0 AB_0 R AB_2
RED,line5,17,0,2,0
YELLOW,chunky5,1,0,0,0
GREEN,L5tall,1,18,0,0
BLUE,-L,18,18,2,1
RED,L5,14,3,1,0
YELLOW,z5,2,3,1,0
GREEN,L5,4,17,2,1
BLUE,chunky5,17,15,3,0
RED,-L,12,1,0,0
YELLOW,line5,0,4,1,0
GREEN,L4,5,13,1,0
BLUE,line5,13,14,0,0
RED,L5tall,8,0,0,0
YELLOW,-L,1,8,0,0
GREEN,singleSquare,7,16,2,1
BLUE,L5tall,8,13,0,0
RED,z5,4,2,2,0
YELLOW,L5tall,0,12,1,0
GREEN,T5,3,11,0,1
BLUE,z5,5,11,3,1
RED,chunky5,7,4,1,0
YELLOW,T5,2,15,1,1
GREEN,C5,9,17,0,1
BLUE,T5,3,8,0,0
RED,T5,4,6,1,0
YELLOW,X5,5,4,0,0
GREEN,M5,10,15,3,1
BLUE,C5,7,7,0,0
RED,C5,9,6,1,0
YELLOW,twoPiece,0,17,0,0
GREEN,3corner,11,12,3,1
BLUE,L5,9,9,0,0
RED,M5,10,3,2,0
YELLOW,singleSquare,2,10,0,0
GREEN,z4,14,11,0,0
BLUE,M5,11,7,2,0
RED,X5,13,5,0,0
GREEN,Z5,13,16,0,1
BLUE,X5,14,9,0,0
RED,tree5,15,7,0,1
GREEN,t4,15,17,3,1
BLUE,tree5,14,19,2,0
RED,Z5,16,10,0,1
GREEN,-L,17,13,3,0
BLUE,l4,17,8,0,0
RED,l4,18,4,3,0
GREEN,line3,18,10,3,0
BLUE,cube,5,15,0,0
RED,L4,1,3,3,1
GREEN,twoPiece,11,10,2,1
BLUE,Z5,6,18,1,0
RED,singleSquare,0,1,0,0
GREEN,l4,19,17,1,1
BLUE,L4,3,15,3,1
BLUE,z4,1,12,3,1
BLUE,t4,9,16,2,0
BLUE,line3,9,19,0,0
BLUE,3corner,11,18,1,0
BLUE,twoPiece,0,14,0,0
BLUE,singleSquare,2,17,0,0

Game 13 with players: R R AB_2 AB_1
RED,chunky5,18,0,0,1
YELLOW,twoPiece,0,1,1,1
GREEN,z5,0,17,1,0
BLUE,C5,19,18,1,1
RED,singleSquare,16,2,2,0
YELLOW,T5,2,2,2,1
GREEN,M5,1,14,2,1
BLUE,tree5,15,16,0,1
RED,Z5,14,1,3,0
YELLOW,l4,6,3,0,1
GREEN,line5,0,10,1,0
BLUE,line5,11,15,0,0
RED,M5,17,4,2,1
YELLOW,chunky5,9,2,2,1
GREEN,-L,1,6,0,0
BLUE,-L,7,13,2,1
RED,L4,18,6,0,1
YELLOW,3corner,8,5,1,1
GREEN,L5tall,1,3,0,0
BLUE,L5tall,3,12,2,1
RED,L5,12,5,1,0
YELLOW,Z5,9,7,2,1
GREEN,chunky5,2,9,1,0
BLUE,z5,3,14,0,1
RED,tree5,16,8,0,1
YELLOW,z5,3,5,2,0
GREEN,T5,3,18,2,0
BLUE,chunky5,4,10,2,1
RED,-L,11,7,3,0
YELLOW,X5,7,10,2,0
GREEN,C5,4,1,1,0
BLUE,T5,5,16,0,0
RED,cube,10,4,0,1
YELLOW,singleSquare,11,5,2,1
GREEN,L5,5,6,0,1
BLUE,L5,6,6,0,0
RED,line3,15,11,3,1
YELLOW,cube,10,9,3,1
GREEN,X5,7,1,0,0
BLUE,M5,7,18,0,1
RED,X5,13,13,2,0
YELLOW,L5tall,13,7,3,0
GREEN,tree5,6,4,0,0
